Contribution_Number,Rating_Overall,Topic,Date_Visit,Visit_Type,Detail,Aspect_Value,Aspect_Service,Aspect_Food,Aspect_Atmosphere,Date_Written
21,4,Good Northern Thai Food,พ.ย.-18,Couples,"Went here twice went visiting Chiang Mai. Had khao soi and spicy sausages. Both very good, the sausages I especially enjoyed. Very spicy and flavorful. This place does get crowded fast, which means you might need to wait for a seat if you dont want to go somewhere else, not sure it's THAT worth it with other options nearby. Service can be slow at times, but the food itself comes fast once you've ordered. A good option overall if you're staying in this area of Chiang Mai.",,,,,"November 29, 2018"
59,3,Nothing more than average,พ.ย.-18,Solo,I got a northern Thai curry dish. It was not bad. Not good. Just average and nothing better than you can get from a street stand. WiFi is poor and keeps dropping connection so don’t depend on that.,,,,,"November 27, 2018"
6,3,Good food but terrible service ruins the experience.,มิ.ย.-18,Friends,The food here is great. Good price good quality but the service is terrible. It's one of those places where they have a 'million' waiters/waitresses but everything takes for ever to arrive and you can't seem to get the attention of any of them. And when you do get service it's with a sour face and a bad attitude. Shame really. Read less,4,1,4,,"November 25, 2018"
29,5,Really good,พ.ย.-18,,"Really good! We had Green curry khao soi, khao soi moo and khao soi gai and all were absolutely amazing! The portion size is good, the price is fair and the place is very nice",,,,,"November 23, 2018"
1848,3,Gravy not even hot,พ.ย.-18,Solo,"Very average khao soi, you can get this standard almost everywhere. The gravy was served only lukewarm, spoilt the whole dining experience. At this price n this quality, dont think i will come back again",,,,,"November 22, 2018"
33,5,"First introduced to Khao Soi here, never forgot it!",พ.ย.-18,Family,"Three years ago our friends introduced us to Khao Soi and we fell in love with it. Haven’t yet had it in a better place than this, but the search goes on :). Fast forward to now: the place was packed but I got in very quickly and my food arrived quickly. I think this is a must eat at place if you come to Chiang Mai.",5,5,5,,"November 19, 2018"
1336,4,"Pretty Good, but not exciting",พ.ย.-18,Couples,"We went based on the positive reviews. The atmosphere is pleasant, and the service is pretty good. Prices are fair and the food is OK. I had the ""Super Khao Soy"" and my wife had a pork noodle soup. We shared a fried spring roll appetizer. One big upside is that they actually delivered the appetizer first which is unusual for here. The downside is the spring rolls were a bit oily, but they were quite crispy. We thought this place was OK, but not a favorite here.",3,4,4,,"November 13, 2018"
50,4,Delicious Kao Soi,ส.ค.-18,Family,One of many Northern Thai food that I wanted to eat when I visit Chiang Mai was Kao Soy and it was authentic and a bit spicy. Otherwise good crowd and there are tables located outdoor as well indoor.,,4,,,"August 29, 2018"
95,4,"Lovely place, taste touristy good",ก.ค.-18,Solo,"Place was very easy to find, in a small alley but Google map is exactly correct. Located in the middle of tourist area anyway. Parking area only for some bikes and motorbikes. Lovely, peaceful and green in garden-like atmosphere. Rather small tables, won't be very convenient for very large group. Had khao soi moo tod for 69B. Taste quite delicious, but IMO too tailored for tourist (i.e not using enough spice). Large enough dish size, pretty presentation. Altogether worth the price.",,,,,"August 28, 2018"
31,5,Best Khao Soi in Nimman area,ส.ค.-18,Couples,The first restaurant where I tried the famed Khao Soi when I touched down in Chiang Mai and it certainly didn’t disappoint! Their northern style Thai curry noodles had the right amount of spices and coconut milk added. The portion of cooked and fried noodles are just nice too. Complete the meal with their roselle tea and mango sticky rice for dessert 👍,,,,,"August 17, 2018"
6,5,Best in town,ก.พ.-18,,"Costs a little more than a roadside stall (it's a restaurant, so...) but it is totally worth the extra cash. First place I take people when they arrive in town.",,,,,"August 7, 2018"
168,5,Delicious food!,ก.ค.-18,Friends,"Great food at reasonable prices , friendly service. Nice outdoor seating. Portion sizes are good. Must go early or long queue.",5,4,5,,"July 22, 2018"
36,5,Best Khao Soy,ก.ค.-18,,"Local friends recommended this restaurant and they were absolutely the best Khao Soy. The broth is full of coconut flavor without the overwhelming heat as other places have. The chicken thigh is huge and price is reasonable for the portion size. Chicken satay was just as good and flavorful. Service was fast, friendly, and efficient.",,,,,"July 20, 2018"
36,4,Super tadty,ก.ค.-18,Friends,I don’t really like Kao Soi that much but the pork one was pretty good. Still has a kick to it but it’s also a little sweet. I also had fried worms which were good. Their chicken satay was delicious. Their spring rolls were yummy too!,,,,,"July 15, 2018"
28,5,Very nice KaoSoy,ก.ค.-18,Friends,This is the 3rd time we had KaoSoy in Northen Thai. This restaurant is one of the best ! Both the KaoSoy and Satay chicken taste very good and we will go again next time when we came to Chiang Mai !,,,,,"July 12, 2018"
12,4,Good food and price,มิ.ย.-18,Solo,"The Kao Soy was pretty good, with a large selection. There’s a nice indoor air conditioned area as well as a patio. I thought the prices were reasonable.",,,,,"June 9, 2018"
285,5,Lunch,พ.ค.-18,Couples,"Very good joint, popular for locals and tourists. Famous for its northern Thai style noodles. Will certainly want to go back.",,,,,"June 6, 2018"
30,4,Delicous kao soy,พ.ค.-18,Couples,"Nice dining area with indoor and outdoor seating, friendly staff. The kao soy soup is amazing, especially the beef variation",4,4,5,,"May 22, 2018"
949,5,Perfect Northern Food in Chaing Mai,พ.ค.-18,Friends,Food is great and not expensive. Service is good. Drink is varieties and located is centre of Nimman area,5,5,5,,"May 13, 2018"
10,4,Good,เม.ย.-18,Couples,Khao soy was very tasty! Spring rolls were fresh and crispy and tasted a lot like soul food for me. Service was exceptionally fast at seating us and food was quick although the check took a little while to eat. The food is dense so make sure you don’t have a ton or you’ll be due for a nap!,,,,,"April 8, 2018"
219,4,Updated traditional northern Thai for foreigners,เม.ย.-18,Couples,"Not a bad place to go if you would like some local food. But this is more like a place where the younger generation of the locals will hang, rather that a family meal place. Food is a bit more spicy than in Bangkok, but their interesting way of making the northern style Kao Soy noodle is pretty good.",,,,,"April 6, 2018"
752,5,Amazing Khao Soy!,ก.พ.-18,Friends,"Our local tour guide knew we wanted to eat some awesome khao Soy so be dropped us off here for dinner. We were the only Westerners there and had no problem getting a table in the outdoor patio. The four of us each ordered a different version of the khao Soy and we all LOVED it! Such amazing food, in a charming atmosphere, for such little money!!!",,,,,"February 27, 2018"
136,5,Two words: khao soy,ก.พ.-18,Solo,"This place was packed for lunch when I went. I had to wait maybe 10mins, but it was worth the wait cus the khao soy was bomb dot com!! I slurped every bit off that bowl. I also ordered chicken sauté and the peanut sauce is so good with it. Food yummy, but the service was kinda slow. They seemed too busy with every thing else and I felt like they kinda forgot about me. Maybe you’ll be lucky!",,,,,"February 14, 2018"
32,5,Best Khao Soi!,ม.ค.-18,Couples,"This restaurant served the best Khao Soi I have ever had! The restaurant itself is very nice and has a beautiful patio. It is very popular, but we came around 6pm and got a table right away before it became super crowded.",,,,,"February 9, 2018"
55,4,Great Pork Kao Soi,ก.พ.-18,Couples,"Nice setting. Staff was good but a little spaced out. No waiting Saturday night 7 pm - good table. Kao Soi was excellent! We also had the red curried chicken with mushrooms (very good), Northern Thai sausages (so-so) and stir fried fried kale (fantastic). With 2 beers and a club soda, cost was 575B. Bit too pricey vis-a-vis what's around, but we were looking for good kao soi and we got it!",3,3,4,,"February 4, 2018"
67,5,So good!,ม.ค.-18,Couples,We order shrimp khao soy and pork khao soy. The pork is better. The coconut broth with the spices and egg noodles and crunch of crispy noodles on top sing melodies in your mouth. Just enough spice to make you feel a little heat but not to make you sweat. Worth the wait- which was not long at all.,,,,,"January 14, 2018"
79,2,Food great staff need training !!!,ม.ค.-18,,"Food is tasty and reliable, service needs to be improved as staff are slow and sometimes rude. They look like they don’t want to be here and don’t mind the customers noticing. Q is long because the staff do not clean tables quickly or take much notice of what is going on. Food can come out wrong also.",,,,,"January 11, 2018"
144,4,Good food,ม.ค.-18,Couples,Place has a good food! Kao Soy is good and the appetizers too! The place was full but the waiting time as 5 to 10 min. Food was served pretty quick. 4 dishes 380 bath.,,,,,"January 6, 2018"
354,4,Decent Kao soi but expensive,ม.ค.-18,,"I tried many Kao soi places in Chiang Mai, and this was easily considered decent. However, it was too pricey (~70BHT), you could have easily got it at 40BHT for something way better at Kao Soi Mae Sai",,,,,"January 4, 2018"
4,5,Great restaurant,ธ.ค.-17,Couples,"We were recommended to go here for northern Thai food by another Thai restaurant owner up the road. We were not at all disappointed! Classic food, with imagination and flavours to die for. All served up by a great team of warm people.",5,5,5,,"December 27, 2017"
245,5,Best khal soi in Nimman,ธ.ค.-17,Couples,"Best Khao soi I’ve had. Try the beef! It’s normally served with chicken, but the beef was done so well I could cut it w my spoons. Definitely worth checking out.",,,,,"December 23, 2017"
352,4,Crowded... Tasty. But environment is clean and cozy,ธ.ค.-17,Family,"Please take note that you will Need to take queue number when you reach the restaurant. Crowded most of the time. As for the noodle, it is delicious. Just that the soup given is not as much as compare to other places I have been too. Satay is great too.",,,,,"December 21, 2017"
145,3,Popular place but...,ธ.ค.-17,Family,"Service is spotty, waitress was friendly, a slightly long wait time for food, food is sent to the table in spurts such that half the ordered dishes are delivered and the other half 20 minutes later - perhaps it was a busy 3 pm for them. Kao Soy was not bad, Green Curry chicken was nice, fried spring rolls a tad oily. Desserts are underwhelming.",,,,,"December 16, 2017"
136,4,Nice staff with good food,ธ.ค.-17,Friends,"KhaoSoi is good, lots of topping you can choose which different from other shop. Other food is just okay. Nice staff and good service.",,,,,"December 2, 2017"
5,3,Delicious! But...,พ.ย.-17,Family,"I visited with my parents, and it's our first Kao Soi. The Kao Soi was so delicious, and the place was clean. However, the staffs had a careless attitude.",3,2,4,,"November 19, 2017"
5,5,Incredible,พ.ย.-17,,"Place truly is incredible. Recommended by a local and completely worth the Uber to the other side of town. Ordered Khao Soi with fried pork, spring rolls, and coconut. Fyi, if you can't handle any level of spice, place may not be for you. If you can handle a little spice, should be just fine. Dishes cost around 80 bhat, menu in English.",,,,,"November 11, 2017"
91,5,Good selection and taste,พ.ย.-17,Friends,"This is a bit touristy catering to both Thai and western customers. However they have a full selection of northern dishes, including nam neo, nam law, gang kae, Khao soi, sai ooa, nam prik nom, ong, kha, boo, etc. Very good flavor with A/C room inside.",,,,,"November 2, 2017"
71,2,Khao soi not proper,ต.ค.-17,Friends,"Live in Thailand for 10 years, went with thai friends ... speechless! there is no difference between each kind of Khao soi… all with the same curry soup. and the soup too watery, lots of MSG…. Not for local …. Don't know why so many people.",,,,,"October 22, 2017"
111,4,Very good khao soi,ต.ค.-17,,We had a very good khao soi. The place is amazing. The waiter was not as polite as he should be plus they don’t serve bottled water. That’s why I gave 4/5. But I will come again for sure.,,,,,"October 12, 2017"
15,5,Great!,ก.ย.-17,Couples,"Loved this dish! Kao soy is classic in chiang mai, had it once but this time it was better. I would recommend to come here and eat...",,,,,"September 8, 2017"
53,5,"Good eats, environment, and prices.",ส.ค.-17,Friends,"I tried this place based on a recommendation of the Thai owner of the condo i am renting. She said it was the best Kao Soy in the area. I ordered the Kao Soy He'd (northern thai noodle with mushrooms). Having never tried this type of soup, i have nothing to compare it to. However, it was delicious. I also had the tempura shrimp, and for dessert the sweet vermicelli with coconut milk. Service was fast (there was a line when i arrived but it went quickly), and even though most staff didn't speak English, the menu was detailed enough i could pick and point. Few foreigners were there when i was there, so must be appreciated by most locals...so my experience was way different from other recent review. If there weren't so many other places to try, i would go back. I thought the prices were very reasonable. Read less",5,5,5,,"August 15, 2017"
232,2,Not for local,ส.ค.-17,Friends,"Nice atmosphere , clean restroom. Kaosoi is not good for me as a Thai but should be ok for foreigners or tourist. I don't see much Thai or local here.",,,,,"August 13, 2017"
175,5,My favorite Kao Soy Restaurant,ก.ค.-17,,Perfect taste for people who cannot eat hot & spicy. One of my favorite restaurants when I visit Chiangmai. Kao Soy Nimman is easy to eat and delicious. And I like Kao Soy Moo Yor .,,,,,"July 7, 2017"
51,5,Couple,ก.ค.-17,Couples,"One of the best if not the best Khao Soi I've had in Chiang Mai. It was fantastic. Slightly more expensive than the average Thai place at 79 baht, but I had it with Northern sausage.",,,,,"July 3, 2017"
139,5,Awesome !!!,มี.ค.-17,Solo,Nice restaurant as feels like dinning in home. Recommend all expats and tourists to come here. All menus so awesome !!! I've tried all ^_^ Nice and friendly staffs there too. Wanna try some differrent as contemporary mixed and match food style with delicious. You dont't miss this restuarant !!!,,,,,"June 10, 2017"
80,4,Tasty noodles...,มิ.ย.-17,Couples,Noodles were very tasty in a delicious curry broth. The serving size was a bit small and the 20thb can of coke was a tiny size also although it was supplied with an abundance of ice to go with it. Overall a tasty meal.,,,,,"June 9, 2017"
9,4,Really nice setting,มี.ค.-17,Couples,"We loved the outside setting, really chilled! It was our first time having Kao Soy and we really enjoyed it. I struggle to eat any type of spicy food, but this was enjoyable (even though towards the end of my dish my mouth was burning up), then again this is related to personal taste. The pork was delicious. Nice place to go to for a quick lunch!",4,5,4,,"March 9, 2017"
98,4,Beautiful Kao Soi in Chiang Mai,มี.ค.-17,Couples,"I went here twice with my wife, this place it's really good and super cheap ;) Highly recommended, if you are visiting this town .",,,,,"March 6, 2017"
19,5,The Best Kao Soy Experience Ever,ม.ค.-17,Friends,"I went back and it was even better, probably wasn't as hung over this time. This northern Thai dish has curry soup base, various meats to choice from, crunchy pickled vegetables and fried wanton-skin garnish. This place just gets it all right. The locals love it. I love it. Simple local food at its best. A must try for those traveling through Chiang Mai. Many other restaurants have this noodle soup dish on the menu but none are quite like Kao Soy Nimman.",5,4,5,,"February 20, 2017"
87,4,Yummy and Clean!!,ม.ค.-17,Friends,Yummy and Clean. You must try khaosoy.very delicious!! Deep fried spring rolls too!! Not too expensive 😋😋,,,,,"February 6, 2017"
472,4,We really enjoyed it and came back for another go,ก.พ.-17,Friends,Thoroughly enjoyed our meal here. Great vibe and ambiance and tables inside and outdoors depending on your preference (bring mosquito spray if outdoors) Lots of things to try on menu and one of the best meals (value and flavour which we enjoyed in Chiang Mai) Service could have been friendlier. Read less,,,,,"February 5, 2017"
18,5,Good kao soy and amazing coconut juice!,ก.พ.-17,Couples,"The price is quite cheap but the store looks fancy. The kao soy just tastes good ad it looks. The coconut juice was served with a whole intact peel-off coconut pulp!!! And very thick!!! This is the first time I see a coconut juice like this, do worth a try~",,,,,"February 2, 2017"
28,4,Excellent Khao Soi with vegetarian options,ม.ค.-17,Solo,Very tasty Khao Soi! They have about 8 different varieties with vegetarian options that include egg Khao Soi and mushroom Khao Soi. Great environment and very friendly staff. A must try for sure!,,,,,"January 24, 2017"
125,5,Great place to try the namesake dish,พ.ย.-16,Couples,"We had a great dinner at Kao Soy Nimman. I chose to try the namesake dish, Kao Soy. That is a delicious noodle soup with extra crispy fried noodles on top. The staff are extremely attentive and willing to help you with your order.",5,5,5,,"November 30, 2016"
274,5,Thai taste,พ.ย.-16,Couples,"Not that bad Kao Soy noodle with northern sausage. Well mix and match! Price is reasonable 65-75 THB for noodle. Good location in town. They do have many thai food and northern food. Restaurant is located in center (small Soi), and easy to find. Last order at 7.30pm .Try it!",,,,,"November 28, 2016"
19,4,Kao soy with good local vibe,พ.ย.-16,Friends,"Just my kind of place. Authentic as locals highly recommended the restaurant. Wide variety of different kao soy. Other tasty northern Thai dishes for nibbling. I had the combination kao soy, good first choice. Not a dive, but definitely a local feel & experience.",,,,,"November 22, 2016"
56,3,"Ok, won't visit again though",ต.ค.-16,Family,Had lunch here as it was recommended for Khai soi. The Khai soi was just ok and I missed the finer flavours. It was more a stomach filling meal than an experience. Also tried the shredded jackfruit which I had never had before - unusual taste but quite good. Service was excellent and with a smile. In the end the food wasn't so much to my liking so I guess it's just a personal thing. Restaurant was crowded for sure - and the price is unbelievably low.,,,,,"October 24, 2016"
87,5,One of the best Khao Soi we had in Chiang Mai!,ต.ค.-16,Couples,Definitely one of our favorite spot in Chiang Mai. The Khao Soi was truly delicious (we had it with fried pork and with sausage and both were very tasty) and very fairly priced!,,,,,"October 19, 2016"
33,4,Authentic and tasty,ต.ค.-16,,"My family and I enjoyed the Kao Soy here. Simple and very tasty. They have a good selection of other simple dishes, price is very reasonable.",,,,,"October 18, 2016"
554,4,Good Kao Soi,ส.ค.-16,Couples,"This was a good find - a number of different types of Kao Soi and not just chicken or beef - Kao Soi was okay good. Atmosphere is fine indoors and outdoors. Service is good too, thanks! Best highlight was the peeled coconut drink we had after the dinner - strongly recommended!",,,,,"September 2, 2016"
803,3,Average taste but wide selection of Khao Soi,ส.ค.-16,Friends,Kao soi was just average but they offered a variety of khao soi not limited to chicken or beef. There are also deep fried pork and omelet khao soi as well. The price is not very expensive.,,,,,"August 8, 2016"
4,5,Highly recommendable,ก.ค.-16,Couples,"Great food, especially if you wish to try some more local northern thai dishes instead of the classic thai dishes served elsewhere and very reasonable prices.",,,,,"July 4, 2016"
334,4,Enjoy nice food,เม.ย.-16,Couples,Restaurant is providing really nice food. You have the choice of Khao soy and also have one bigger bowl which 5 ingredient can be choose. Staff are friendly and the price is pretty cheap for restaurant. Easy to go there by Tuk tuk,,,,,"April 29, 2016"
96,4,Better than expected,ก.พ.-16,Couples,"We randomly came across this restaurant from Google map. Their Kao soi was very good, think soup and tasty. We tried something else as well but it was not good. We only like Kao soi. Open only during the day.",4,4,4,,"March 4, 2016"
30,4,Inexpensive place for Chiang Mai special dish,ม.ค.-16,Couples,"This is one of the few places where you can find dinner if you want the northern specialty know soi (spelled different ways). It's a hearty flavorful noodle soup in a rich creamy curry broth. We tried the vegetarian option wth oyster mushrooms but you can get pork, chicken, squid, and shrimp if you want. I did not see tofu on the menu. The calamari is also good but a small portion. They have soft drinks, beer, no wine. There are curries and other dishes also which we didn't try. The staff are kind but English is not really spoken. We pointed, that worked. Really inexpensive, and a fun district with many bars, restaurants, places for massage, etc, on the west side of Chiang Mai.",5,4,4,,"January 28, 2016"
55,4,Nice place and food,ธ.ค.-15,,This place is nice and decoration. The food is little salt taste and the price is ok. The service is fine.,,,,,"December 25, 2015"
12,5,Best Thai green curry,พ.ย.-15,Couples,We stumbled upon this little gem by accident and enjoyed it so much we are back for a second visit. The Thai green chicken curry is the best I've ever had.,,,,,"November 8, 2015"
126,3,Great northern sausage Kao Soi,ต.ค.-15,Couples,"Sampling many different Kao Soi dishes around town I figured it was time to try Kao Soi Nimman. They have a variety of different ones to choose from. I went with the northern Thai style sausage which was great. Nice amount of spicy, mid sized portion. 75 baht prices it slightly higher than a true local Kao Soi stall but the atmosphere is pleasant and the staff are friendly.",,,,,"October 22, 2015"
48,4,Local Chiang Mai dish Kao Soi,ก.ย.-15,Solo,"I was recommended to try the local regional delicacy Kao Soi. I went for the Kao Soi green chicken curry. Really liked the noodles, including the fried noodle garnish. The noodles are like Italian tagliatelle, bit of a bite to them and not at all slimy. Very reasonably priced too. Chicken livers added to the chicken were not to my taste. Staff very friendly, attentive but not in your face.",5,4,4,,"September 19, 2015"
21,4,"Great restaurant, try the signature dish!",ส.ค.-15,,"We tried Kao Soi Nimman through a delivery service, so I can only speak to the food, not the service. I'd never had kao soi before, but it's quickly become one of my favorite Thai dishes! We also tried their garlic pork and garlic shrimp. Both were delicious, but VERY garlicky. There sticky rice seemed a little old (definitely could have been because of delivery) and the green curry was not as flavorful as others I've had in the city.",,,,,"August 23, 2015"
294,5,Went back again!,ส.ค.-15,Couples,"Read a review from someone living in Asia 20 years. Was not disappointed. Had dinner one night, had to go back the next week for lunch. Had khao soi twice, recommend with tasty northern sausage. Ordered crispy calamari, was excellent! It is a favorite, so I tend to judge a bit harshly. Can't wait to have it again. Very inexpensive too. Little to no English spoken but who cares?",,,,,"August 19, 2015"
8,3,Ok Kao Soy,ส.ค.-15,Couples,"After having numerous bowls of this northern Thailand dish, I found this place to be rather average for the inflated price. I've had bigger and better bowls at smaller family run restaurants. I order the squid Khao soy and it had four pieces of squid and not a lot of noodles. Was charged for ice also which was lame. Two bowls of soups, one bottle of water and ice = 190 B",2,4,3,,"August 15, 2015"
10,4,Delicious Kao Soi and excellent service,ก.ค.-15,,"Located in the heart of the Nimman area, Kao Soi Nimman serves one of the most delicious Kao Soi that I've tasted in Chiang Mai. The menu has a wide variety of Thai food to choose from. I had Kao Soi with northern Thai sausage (pork) and crispy fried wonton. The service is great and fast. The restaurant has a beautiful and spacious garden area to sit at, as well as an A/C indoor area.",,,,,"July 20, 2015"
205,2,Slow service and ok food,ม.ค.-15,Friends,"First time we went by it said they open at 4pm when we arrived at 4pm it said 5pm. We took no chance and showed up at 6, waited for a table for 10min while drinking a slighty warm Singh at the price of 100baht. The kao soi was good but nothing more, one dish was minced porc in banana leaf was not good at all, bones everywhere and bad taste. Rest of the dishes was ok. Service was amateur on a good Day. More lukewarm Singha arrived after asking for it twice. Will not return.",,,,,"January 2, 2015"
199,2,Soup is very sweet and oily - Extra charge for ice cubes,ก.ค.-14,Friends,"We went there the other day in search for the best Khao Soi Soup in Nimman area. The Khao Soi soup is a bit more pricey here, about 50 - 75 Baht, usually you can buy the soup at most places for around 40 Baht or even for 30 Baht on street food stalls. But OK I was willing to pay more since the place is well located and looks nice with an inviting outdoor seating. We ordered 2 Khao Soi soup and a coke. The waiter brought the food within minutes. First I thought, wow, a big serving, but actually only the bowl is big, it's not even half filled with soup. So the portions are not that amazing. The crunchy noodles were delicious. But the soup itself was very oily and extremely sweet, definitely too sweet for me. I would give the soup 3 stars out of 5. So far the best Khao Soi soup I ate at Hong Tauw Restaurant on Nimman Road. Nevertheless, I would not eat again at Khao Soi Nimman. When we asked for the bill we had a very unpleasant surprise. The waiter charged us extra 15 baht for the ice cubes in our coke. Excuse me? I didn't even order ice cubes. I never paid anywhere extra for the ice cubes. Well, I swallowed my anger since I know it's not the waiters fault and paid for it. But this was enough to leave me angry and I decided I won't return to this place. Ever. Charging extra for ice is also a way of getting rid of your customers. Ridiculous! Read less",1,3,3,4,"July 10, 2014"
26,5,Find from New York Times,มี.ค.-14,Couples,"We were going to Thailand to see our son studying abroad, so we found some information in a New York Times Article about Chiang Mai. This restaurant is featured. It is a typical laid back open air place serving classic Kao Soi Noddles. Great eating and a cool part of town.",,,,,"April 12, 2014"
71,5,Best Kao Soi in Chiang Mai,ธ.ค.-12,Friends,"Have tried Kai Soi in alot of locations in my two years of living in Chiang Mai and have settled on this being the best. For those who don't know what Kao Soi is, its the northern laksa (with or without coconut milk), it is more earthy though than your singapore or malaysia laksa. It usually contains a chicken leg, but can also contain pork or beef. Kao Soi Nimman has a good variety of alternatives, make sure you put the pickle over the top. They also have a terrific selection of other Lanna specialties such as Hung Lay Curry (sweet pork curry), Naem (Fermented Sausage) with egg (Kai) and a traditional kantoke selection of assorted vegetables, sausage dipping sauce and sticky rice. Its directly opposite Beconfinno's. Read less",5,3,5,3,"January 7, 2013"
